16/02/2015 18.11.43,Outcome,14/02/2015,"7.85",Health,Antibiotico neoduplamox
16/02/2015 18.12.05,Outcome,15/02/2015,"45.57",Groceries,
16/02/2015 18.12.21,Outcome,16/02/2015,17,Groceries,
21/02/2015 11.03.25,Outcome,17/02/2015,20,Car Fuel,
21/02/2015 12.26.24,Outcome,20/02/2015,16,Food & Drink,Smell Brasil
23/02/2015 10.21.01,Outcome,22/02/2015,37,Home,Cestino + tostapane
23/02/2015 10.25.23,Outcome,22/02/2015,16,Groceries,
23/02/2015 23.54.03,Outcome,23/02/2015,50,Car Fuel,
23/02/2015 23.56.00,Outcome,14/02/2015,500,Rent,
23/02/2015 23.57.21,Outcome,16/02/2015,210,Health,dentista
26/02/2015 17.02.28,Outcome,22/02/2015,18,Food & Drink,
01/03/2015 10.16.36,Outcome,22/02/2015,"37.98",Home,Tostiera +  altro
01/03/2015 10.16.56,Outcome,22/02/2015,"16.94",Groceries,
01/03/2015 10.17.20,Outcome,28/02/2015,26,Groceries,
05/03/2015 8.15.05,Outcome,02/03/2015,60,Home,Mobiletto sala
05/03/2015 8.15.18,Outcome,04/03/2015,10,Personal,"Barbiere"
10/03/2015 8.46.02,Income,10/03/2015,1803,Salary,
10/03/2015 8.47.53,Outcome,10/03/2015,50,Electricity,
10/03/2015 8.48.04,Outcome,10/03/2015,20,Car Fuel,
10/03/2015 8.49.20,Income,09/03/2015,132,Salary,buoni spesa
13/03/2015 13.51.57,Outcome,11/03/2015,40,Home,Mobiletto
13/03/2015 13.52.12,Outcome,13/03/2015,30,Phone,ricarica
20/03/2015 17.47.01,Outcome,16/03/2015,23,Groceries,
20/03/2015 18.02.11,Outcome,15/03/2015,500,Rent,
24/03/2015 8.19.23,Income,13/03/2015,157,Salary,Saldo akhela
24/03/2015 8.19.44,Outcome,21/03/2015,"16.9",Groceries,
24/03/2015 20.11.54,Outcome,24/03/2015,50,Car Fuel,
29/03/2015 12.27.46,Outcome,29/03/2015,"19.22",Health,lansoprazolo + fasce schiena
03/04/2015 17.59.41,Outcome,02/04/2015,9,Food & Drink,
03/04/2015 22.22.05,Outcome,03/04/2015,40,Gifts,
03/04/2015 22.22.19,Outcome,03/04/2015,9,Groceries,
08/04/2015 9.25.12,Outcome,07/04/2015,40,Car Fuel,
08/04/2015 9.25.27,Outcome,08/04/2015,5,Gifts,
08/04/2015 19.09.09,Outcome,08/04/2015,"8.55",Groceries,
08/04/2015 19.31.04,Outcome,08/04/2015,"16.9",Clothing,
10/04/2015 8.59.36,Income,10/04/2015,1836,Salary,Stipendio
10/04/2015 18.48.58,Outcome,10/04/2015,"33.8",Clothing,
15/04/2015 18.39.20,Outcome,15/04/2015,50,Car Fuel,
17/04/2015 18.36.37,Outcome,17/04/2015,"43.55",Gifts,
25/04/2015 10.34.54,Outcome,18/04/2015,"18.76",Groceries,
25/04/2015 10.35.21,Outcome,20/04/2015,"7.99",Personal,Cerotti naso
25/04/2015 10.35.54,Outcome,20/04/2015,30,Food & Drink,Cena anniversario
25/04/2015 10.36.30,Outcome,18/04/2015,"16.9",Tech,Cambio SIM wind LTE
25/04/2015 10.36.54,Outcome,25/04/2015,"8.8",Groceries,
25/04/2015 10.37.40,Outcome,18/04/2015,"15.49",Groceries,
25/04/2015 10.38.23,Outcome,30/04/2015,40,Food & Drink,Stima spesa pranzo a lavoro (2 euro al giorno +o-)
25/04/2015 10.38.55,Outcome,14/04/2015,500,Rent,
25/04/2015 10.41.35,Outcome,02/04/2015,300,Health,Dentista
26/04/2015 12.47.19,Outcome,26/04/2015,"3.88",Groceries,Pane e riso
04/05/2015 20.09.04,Outcome,22/04/2015,100,Health,dentista
04/05/2015 20.09.24,Outcome,29/04/2015,50,Car Fuel,
04/05/2015 20.09.55,Outcome,29/04/2015,13,Food & Drink,Cinema e cena
04/05/2015 20.10.47,Outcome,03/05/2015,"13.5",Food & Drink,Tex Mex con bobo e stefania
04/05/2015 20.11.19,Outcome,04/05/2015,"6.4",Groceries,
05/05/2015 19.52.21,Outcome,05/05/2015,24,Home,
07/05/2015 18.05.13,Outcome,04/04/2015,"295.71",Electricity,Primo enel
07/05/2015 18.06.52,Outcome,10/04/2015,53,Phone,Infostrada
07/05/2015 19.25.06,Outcome,07/05/2015,"6.63",Groceries,
08/05/2015 10.48.19,Income,08/05/2015,1739,Salary,Telit
08/05/2015 21.56.35,Outcome,08/05/2015,5,Car,Faro
08/05/2015 21.57.44,Outcome,08/05/2015,5,Personal,Libro Ezio
